月份,行业,新增数量
201401,交通运输、仓储和邮政业,797
201312,交通运输、仓储和邮政业,856
201311,交通运输、仓储和邮政业,842
201310,交通运输、仓储和邮政业,703
201309,交通运输、仓储和邮政业,765
201308,交通运输、仓储和邮政业,876
201307,交通运输、仓储和邮政业,791
201306,交通运输、仓储和邮政业,701
201305,交通运输、仓储和邮政业,816
201304,交通运输、仓储和邮政业,821
201303,交通运输、仓储和邮政业,768
201302,交通运输、仓储和邮政业,206
201301,交通运输、仓储和邮政业,523
201212,交通运输、仓储和邮政业,467
201211,交通运输、仓储和邮政业,496
201210,交通运输、仓储和邮政业,317
201209,交通运输、仓储和邮政业,383
201208,交通运输、仓储和邮政业,440
201207,交通运输、仓储和邮政业,456
201206,交通运输、仓储和邮政业,416
201205,交通运输、仓储和邮政业,470
201204,交通运输、仓储和邮政业,415
201203,交通运输、仓储和邮政业,507
201202,交通运输、仓储和邮政业,346
201201,交通运输、仓储和邮政业,231
201112,交通运输、仓储和邮政业,477
201111,交通运输、仓储和邮政业,492
201110,交通运输、仓储和邮政业,338
201109,交通运输、仓储和邮政业,409
201108,交通运输、仓储和邮政业,506
201107,交通运输、仓储和邮政业,511
201106,交通运输、仓储和邮政业,590
201105,交通运输、仓储和邮政业,551
201104,交通运输、仓储和邮政业,540
201103,交通运输、仓储和邮政业,539
201102,交通运输、仓储和邮政业,188
201101,交通运输、仓储和邮政业,441
201012,交通运输、仓储和邮政业,519
201011,交通运输、仓储和邮政业,569
201010,交通运输、仓储和邮政业,449
201009,交通运输、仓储和邮政业,661
201008,交通运输、仓储和邮政业,590
201007,交通运输、仓储和邮政业,489
201006,交通运输、仓储和邮政业,569
201005,交通运输、仓储和邮政业,478
201004,交通运输、仓储和邮政业,486
201003,交通运输、仓储和邮政业,411
201002,交通运输、仓储和邮政业,234
201001,交通运输、仓储和邮政业,409
201709,教育,142
201708,教育,756
201707,教育,717
201706,教育,843
201705,教育,767
201704,教育,659
201703,教育,756
201702,教育,347
201701,教育,403
201612,教育,485
201611,教育,460
201610,教育,321
201609,教育,485
201608,教育,526
201607,教育,462
201606,教育,377
201605,教育,377
201604,教育,345
201603,教育,364
201602,教育,137
201601,教育,226
201512,教育,325
201511,教育,240
201510,教育,215
201509,教育,273
201508,教育,246
201507,教育,274
201506,教育,227
201505,教育,207
201504,教育,210
201503,教育,172
201502,教育,87
201501,教育,143
201412,教育,173
201411,教育,142
201410,教育,133
201409,教育,138
201408,教育,122
201407,教育,168
201406,教育,137
201405,教育,112
201404,教育,107
201403,教育,81
201402,教育,49
201401,教育,69
201312,教育,91
201311,教育,79
201310,教育,58
201309,教育,85
201308,教育,91
201307,教育,76
201306,教育,64
201305,教育,74
201304,教育,80
201303,教育,44
201302,教育,17
201301,教育,48
201212,教育,46
201211,教育,36
201210,教育,27
201209,教育,31
201208,教育,39
201207,教育,41
201206,教育,45
201205,教育,50
201204,教育,33
201203,教育,36
201202,教育,26
201201,教育,23
201112,教育,30
201111,教育,33
201110,教育,14
201109,教育,24
201108,教育,30
201107,教育,44
201106,教育,66
201105,教育,38
201104,教育,23
201103,教育,51
201102,教育,29
201101,教育,28
201012,教育,39
201011,教育,36
201010,教育,16
201009,教育,32
201008,教育,40
201007,教育,46
201006,教育,44
201005,教育,36
201004,教育,47
201003,教育,39
201002,教育,20
201001,教育,33
201709,金融业,195
201708,金融业,952
201707,金融业,887
201706,金融业,892
201705,金融业,904
201704,金融业,846
201703,金融业,1023
201702,金融业,557
201701,金融业,607
201612,金融业,1018
201611,金融业,829
201610,金融业,603
201609,金融业,815
201608,金融业,790
201607,金融业,616
201606,金融业,817
201605,金融业,887
201604,金融业,1495
201603,金融业,1675
201602,金融业,1232
201601,金融业,1955
201512,金融业,1882
201511,金融业,1445
201510,金融业,1178
201509,金融业,1406
201508,金融业,1656
201507,金融业,1863
201506,金融业,1467
201505,金融业,1229
201504,金融业,1122
201503,金融业,944
201502,金融业,655
201501,金融业,859
201412,金融业,1317
201411,金融业,898
201410,金融业,813
201409,金融业,944
201408,金融业,872
201407,金融业,963
201406,金融业,647
201405,金融业,675
201404,金融业,590
201403,金融业,651
201402,金融业,455
201401,金融业,661
201312,金融业,698
201311,金融业,612
201310,金融业,500
201309,金融业,563
201308,金融业,415
201307,金融业,400
201306,金融业,288
201305,金融业,202
201304,金融业,228
201303,金融业,180
201302,金融业,88
201301,金融业,182
201212,金融业,225
201211,金融业,267
201210,金融业,104
201209,金融业,103
201208,金融业,121
201207,金融业,110
201206,金融业,102
201205,金融业,122
201204,金融业,76
201203,金融业,98
201202,金融业,72
201201,金融业,86
201112,金融业,163
201111,金融业,109
201110,金融业,69
201109,金融业,120
201108,金融业,127
201107,金融业,107
201106,金融业,99
201105,金融业,104
201104,金融业,134
201103,金融业,123
201102,金融业,43
201101,金融业,101
201012,金融业,128
201011,金融业,151
201010,金融业,126
201009,金融业,134
201008,金融业,134
201007,金融业,204
201006,金融业,158
201005,金融业,77
201004,金融业,104
201003,金融业,108
201002,金融业,53
201001,金融业,64
201709,居民服务、修理和其他服务业,495
201708,居民服务、修理和其他服务业,3059
201707,居民服务、修理和其他服务业,2867
201706,居民服务、修理和其他服务业,3458
201705,居民服务、修理和其他服务业,3244
201704,居民服务、修理和其他服务业,3182
201703,居民服务、修理和其他服务业,3811
201702,居民服务、修理和其他服务业,1772
201701,居民服务、修理和其他服务业,2030
201612,居民服务、修理和其他服务业,3798
201611,居民服务、修理和其他服务业,3204
201610,居民服务、修理和其他服务业,2497
201609,居民服务、修理和其他服务业,3369
201608,居民服务、修理和其他服务业,3159
201607,居民服务、修理和其他服务业,2606
201606,居民服务、修理和其他服务业,2407
201605,居民服务、修理和其他服务业,2523
201604,居民服务、修理和其他服务业,2536
201603,居民服务、修理和其他服务业,2560
201602,居民服务、修理和其他服务业,901
201601,居民服务、修理和其他服务业,1953
